job_title,company,location,responsibilities,requirements,salary_from,salary_to,salary_currency,posted_date,url,category,skills,position,experience,education,salary
QA,Сравни,Москва,"Совершенствование и оптимизация процесса тестирования без потери его качества. Активное взаимодействие с разработчиками, системными аналитиками и иными членами команды.","...возникновении вопросов задавать их руководству, коллегам, обращаться за информацией к представителям других команд и перенимать положительный опыт других QA engineers.",,,,2025-05-12,https://hh.ru/vacancy/120391074,['qa'],,,,,
QA engineer / Тестировщик,Банк ПСБ,Москва,"Анализ новой функциональности, тест-дизайн, написание тест-кейсов. Тестирование мобильных приложений. Регрессионное тестирование функционала системы ДБО. Составление отчётов о проведенном...","Знание теории и методологии тестирования. Понимание цикла разработки мобильных, web и backend приложений. Опыт работы с Jira, Confluence, TestIT, Chrome...",,,,2025-05-12,https://hh.ru/vacancy/120394190,"['tools', 'web', 'qa', 'backend']",['jira'],,,,
"QA Engineer/Тестировщик (Middle, Senior)",X5 Tech,Москва,"Проводить функциональное, регрессионное и интеграционное тестирование программных продуктов. Регистрировать найденные ошибки в системах дефект–трекинга, проверять исправление ошибок.",Имеешь опыт в тестировании от 2 лет (Web/Mobile/Desktop). Знаешь теорию тестирования и техники тест-дизайна. Работаешь с SQL...,,,,2025-05-12,https://hh.ru/vacancy/120387705,"['web', 'mobile', 'data', 'qa']",['sql'],"['middle', 'senior']",2,,
Тестировщик junior+ / middle (Москва),ОНИН,Москва,"Плотная работа с бизнес-аналитиками, сбор и анализ требований к продукту с точки зрения тестировния. Тестирование серверной и клиентской части...","Опыт ручного тестирования от 3-х лет. Понимание клиент-серверного взаимодействия. Опыт работы с системами, использующими MQ (Rabbit, Kafka и...",,,,2025-05-12,https://hh.ru/vacancy/120385704,['qa'],,"['junior', 'middle']",3,,
Ручной тестировщик / Manual QA,OMI,Москва,"Ручное тестирование и локализация проблем(back-end 70% / front-end 30%). Помощь технической поддержке в локализации проблем. Заведение ошибок, написание...","Имеет опыт тестирования сложных WEB приложений от 1 года. Был боевой опыт функционального, интеграционного и тестирования API (Fiddler, Postman).",,,,2025-05-10,https://hh.ru/vacancy/120329974,"['web', 'qa']",['postman'],,1,,
QA инженер (тестировщик),Эшелон Технологии,Москва,Подготовка тестового окружения для проведения тестирования. Составление тест-плана и написание тест-кейсов. Выполнение всех видов тестирования ПО.,Понимание принципов работы Rest API. Опыт функционального тестирования web-приложений. Опыт ручного тестирования ПО. Опыт работы с баг-трекинговыми и...,,105000.0,RUR,2025-05-12,https://hh.ru/vacancy/120383608,"['web', 'qa']",,,,,105000.0
Специалист по экономической безопасности,АГР,Москва,"Проверка физического или юридического лица с использованием баз в закрытых и открытых источниках (СПРУТ, СПАРК, Кронос, ФССП, ФНП, ФМС, Кадарбитр...",Знание инструментов OSINT/HUMINT/FORENSIC. Опыт в составлении досье на физических и юридических лиц. Коммуникабельность и стрессоустойчивость.,,,,2025-05-12,https://hh.ru/vacancy/120397534,['security'],,,,,
QA Engineer (Mobile),Skyeng,Москва,"Ручное тестирование мобильного приложения Skyeng. Собирать, анализировать и приоритизировать требования, участвовать в проектировании пользовательского интерфейса. Отвечать за качество продукта на...","Имеет опыт тестирования мобильных приложений от 3 лет. Понимает специфику тестирования мобильных приложений. Знает, чем отличается мобильное приложение от мобильного...",,,,2025-05-12,https://hh.ru/vacancy/120393720,"['mobile', 'qa']",,,3,,
Frontend-разработчик (React),Группа компаний Аэроклуб,Москва,"Участие в принятии архитектурных решений, касающихся создаваемых продуктов. Постановка и толкование задач другим разработчикам команды, проведение code review.","Опыт коммерческой разработки от 3-х лет. Развитые навыки программирования, проектирования, анализа. Знания языков программирования JavaScript, Typescript, NodeJS — как основ...",,,,2025-05-12,https://hh.ru/vacancy/120381834,"['web', 'backend']","['node.js', 'typescript', 'react', 'javascript']",,3,,
Тестировщик (QA),"Квиз, плиз!",Москва,Создание тестовых пользователей. Формирование отчетов о результатах тестирования. Локализация и заведение дефектов. Постановка задач разработчикам по итогам тестирования.,Наши ожидания от твоего опыта: Уровень Middle. Знание жизненного цикла разработки ПО. Умение работать с тестовой документацией и трекинговыми системами.,,,,2025-05-11,https://hh.ru/vacancy/120362883,['qa'],,['middle'],,,
Middle/Senior frontend developer (react),X5 Tech,Москва,"Участие в проработке, планировании и оценке задач. Участие в проектировании и разработке архитектуры приложений. Ревью кода.","Хорошее знание JavaScript / TypeScript. Опыт разработки SPA от 3х лет на React, Redux/MobX. Умение писать поддерживаемый код.",,,,2025-05-12,https://hh.ru/vacancy/120379605,['web'],"['typescript', 'react', 'javascript']","['middle', 'senior']",3,,
"Middle Frontend разработчик (Javascript, React)",БиАй Продакшн,Москва,Разработка нового и доработка существующего функционала Frontend – разработка новых визуализаций и интерфейсов. Взаимодействие с командой Backend для обеспечения целостного развития...,"Хорошее знание и опыт работы с Javascript, Web API. Знание стандартов CSS на практике. Опыт работы с React.",140000.0,250000.0,RUR,2025-05-12,https://hh.ru/vacancy/120377808,['web'],"['react', 'javascript']",['middle'],,,195000.0
Manual QA Engineer (Middle),ЮНИРЕСТ,Москва,"Проводить ручное тестирование (функциональное и интеграционное). Разрабатывать сценарии тестирования. Настраивать и развертывать тестового окружения, готовить тестовые данные. Планировать выпуск релизов.","Имеешь опыт ручного тестирования от 2-х лет. Имеешь опыт работы с логами приложений. Будет плюсом, если имеешь опыт автоматизации...",,,,2025-04-21,https://hh.ru/vacancy/119771963,['qa'],,['middle'],2,,
Младший специалист по тестированию,Панина Анастасия Александровна,Москва,"1. Функциональное и нефункциональное тестирование: Проведение различных видов тестирования: функциональное, smoke-тесты, регрессионное, интеграционное, UI-тестирование. Тестирование API, баз данных...","Уверенное владение техниками тест-дизайна (эквивалентное разделение, граничные значения, таблицы решений и др.). Навыки работы с SQL. 5.",70000.0,,RUR,2025-05-05,https://hh.ru/vacancy/120226828,['data'],['sql'],['junior'],,,70000.0
Тестировщик,Группа компаний Аэроклуб,Москва,"Выполнение ручного тестирования веб-приложений. Выполнение тестирования мобильных приложений (iOs, Android). Обнаружение и документирование ошибок, контроль их исправления.","Опыт тестирования веб-сайтов со сложной функциональностью (frontend, backend). Опыт тестирования приложений (iOs, Android). Знание основ SQL (на уровне написания...",,,,2025-04-21,https://hh.ru/vacancy/119772757,"['mobile', 'qa', 'backend', 'web', 'data']","['ios', 'sql', 'android']",,,,
